id	title	dom	obj	shape	etype	dec	dep	tool	src	q	a	given	assume
IV-A-001	単発検査：O1=+→Hの事後q	dom/prob	obj/post	shape/latent_obs	single	sum_partition	indep	update_q	感染症(2018-06)Q1	"q:=P(H=h+ | E), E={O1=+}"	"q=(t p)/(t p + f p̄)"	"p:=P(H=h+), p̄:=1-p, t:=P(O1=+|H=h+), f:=P(O1=+|H=h-)"	"indep"
IV-A-002	2回検査：O1=+,O2=+→Hの事後q	dom/prob	obj/post	shape/latent_obs	intersection	both	indep	update_q	感染症(2018-06)Q2	"q:=P(H=h+ | E2), E2={O2=+}∩{O1=+}"	"q=(p t1 t2)/(p t1 t2 + p̄ f1 f2)"	"t1:=P(O1=+|H=h+), f1:=P(O1=+|H=h-), t2:=P(O2=+|O1=+,H=h+), f2:=P(O2=+|O1=+,H=h-)"	"（2回目はO1=+で条件付け）"
IV-A-003	一般更新：q(θ|E)=L(E|θ)q0(θ)/Σ	dom/prob	obj/post	shape/latent_obs	intersection	sum_partition	none	update_q	ベイズ骨格（本の核）	"q(θ*):=P(θ*|E)"	"q(θ)=L(E|θ)q0(θ)/Σ_{θ'}L(E|θ')q0(θ')"	"θ∈Θ, E⊂Ω, q0(θ)=P(θ), L(E|θ)=P(E|θ)"	"none"
IV-A-004	二値ラベルの恒等式：1/(1+m)型	dom/prob	obj/post	shape/latent_obs	intersection	sum_partition	none	none	ベイズ骨格（あなたの発見）	"q:=P(H=h+|E)"	"q=1/(1+m), m:=P(E∩{H=h-})/P(E∩{H=h+})"	"H∈{h+,h-}, E⊂Ω"	"none"
IV-A-005	「分母=全体」の排反和（係数漏れ防止）	dom/prob	obj/prob	shape/latent_obs	intersection	sum_partition	none	none	ベイズ骨格（事故防止）	"P(E)"	"P(E)=P(E∩{H=h+})+P(E∩{H=h-})"	"H∈{h+,h-}, E⊂Ω"	"none"
IV-B-001	標準化：閾値超え確率	dom/stat	obj/prob	shape/standardize	threshold	none	none	zscore	偏差値計算(2026-01-02)	"P(x≥c)"	"1-Φ((c-μ)/σ)"	"Z:=(x-μ)/σ, μ,σ,c"	"normal"
IV-B-002	標準化：1-Φ(-a)とΦ(a)の同値	dom/stat	obj/compare	shape/standardize	none	none	none	zscore	偏差値計算(2026-01-02)	"1-Φ(-u)=?"	"1-Φ(-u)=Φ(u)"	"Φは標準正規の分布関数"	"normal"
IV-B-003	混同行列：適合率/再現率	dom/stat	obj/compare	shape/standardize	none	none	none	none	適合率/再現率(2026-01-12付近)	"precision, recall"	"precision=TP/(TP+FP), recall=TP/(TP+FN)"	"TP,FP,FN,TN"	"none"
IV-B-004	混同行列：表の読み（TP+FN 等）	dom/stat	obj/compare	shape/standardize	none	none	none	none	適合率/再現率(表の見方)	"TP+FN の意味"	"TP+FN=実際陽性の総数"	"混同行列の定義"	"none"
IV-C-001	非復元抽出：標本平均の分散	dom/stat	obj/var	shape/sampling	none	sum_partition	dep	cov_expand	非復元抽出(2025-12-21)	"Var(ȳ)"	"σ^2/n * (N-n)/(N-1)"	"N,n, σ^2（母分散）"	"dep(非復元)"
IV-C-002	非復元抽出：ΣΣCov の非対角の項数	dom/stat	obj/cov	shape/sampling	none	sum_partition	dep	cov_expand	非復元抽出(2025-12-21)	"非対角(i≠j)の項数"	"2*C(n,2)=n(n-1)"	"対称性で(i,j)と(j,i)が同じ、対角はn個"	"dep"
